sample_id,ground_truth_cm,grid_cm,grid_log_ridge_cm,features_log_ridge_cm,combined_log_ridge_cm,combined_random_forest_cm,combined_hist_gradient_cm
sample_00001,15.0,65.25368988513947,20.745395098590304,16.668694099612306,14.2380931012039,32.828630952380934,29.05845329849574
sample_00002,20.0,84.4563364982605,25.4542146141358,18.819123024920078,18.89923338401767,25.538888888888888,21.67546197031393
sample_00003,20.0,96.62992358207704,29.320244350218214,31.690859244138878,33.781741444218305,33.22797619047619,30.729569896971068
sample_00004,30.0,110.98105311393738,33.88734162675402,24.74739121768921,27.287084961192694,40.03367724867725,36.58855573912538
sample_00005,5.0,2.3119233548641205,10.888648282507177,9.233868293551529,8.919147671058752,10.12441798941799,10.15882561420722
sample_00006,10.0,4.659212939441204,10.404620694152086,7.6022331182771925,7.241909259140308,9.251917989417988,9.447371063758245
sample_00007,15.0,41.4959654211998,15.781818511168275,14.69687826529468,14.817555826328931,17.12166666666667,18.48931430757953
sample_00008,20.0,49.45200979709625,17.019880284586286,15.07912672442738,15.502311462412772,14.691481481481487,15.08074917163216
sample_00009,30.0,63.122543692588806,19.504544817930586,27.478694462708994,26.84917373473227,30.083048941798936,30.517382108514774
sample_00010,40.0,77.74296998977661,22.72045234377148,33.01156188800966,31.854918188343127,27.635879629629628,36.8859650389659
sample_00011,40.0,82.3873221874237,23.954479296664996,35.80748212994866,33.718597597833636,39.11863095238096,40.298196299674
sample_00012,50.0,96.7636227607727,27.853089250831353,44.161039365514675,43.85279411179296,40.11648809523808,39.78497063325903
sample_00013,75.0,127.18992233276369,38.3269956814189,66.65217994813436,65.03562822500437,74.06601190476187,46.491811469782476
sample_00014,100.0,162.76336312294006,57.12800379339356,94.30214978533019,96.72933062656564,102.70265873015875,94.79873190932237
sample_00015,125.0,180.6839406490326,69.92924313940077,96.63775831850378,102.24461602756206,95.41101190476188,99.77024425754428
sample_00016,150.0,207.64248371124268,101.06363517673125,178.5028728529736,189.08219752710244,92.0535119047619,91.25912139155766
sample_00017,5.0,23.091135174036022,13.816198123276694,6.5509205041528995,7.971011951689791,10.126369047619049,10.860305137363339
sample_00018,5.0,2.473342604935169,10.90948824693069,5.994582999562763,5.821758043056155,9.660496031746032,9.800415779863838
sample_00019,5.0,4.903587698936462,11.226498417808259,8.706378091165897,8.282500792887259,31.548373015873008,28.344459025250426
sample_00020,10.0,3.4784097224473958,10.247155992898058,1.5095455579671198,1.4484357267282892,14.207876984126989,10.437622512057018
